FID,BPID,Miles,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,FC_Descrip,Date_Enter,Shape__Length
918,SYR2350,0.0560243252505,Mertens Ave,Helen,Dewitt,400,4,28,6,Fair,19,Local,2021/06/17 00:00:00+00,123.27125006795
919,SYR2351,0.10093595225,Mertens Ave,Sedgwick,Woodlawn,600,4,25,4,Poor,19,Local,2021/06/17 00:00:00+00,222.093774011156
920,SYR2352,0.060889648179,Mertens Ave,Woodlawn,Wendell,700,4,25,6,Fair,19,Local,2021/06/17 00:00:00+00,133.976018303277
921,SYR2353,0.0621556953712,Mertens Ave,Wendell,Brattle,800,4,25,7,Good,19,Local,2021/06/17 00:00:00+00,136.761931086689
922,SYR2354,0.0636724066405,Mertens Ave,Brattle,Durston,900,4,25,6,Fair,19,Local,2021/06/17 00:00:00+00,140.099305596996
923,SYR2355,0.0565030210133,Mertens Ave,Durston,Wheaton,1000,4,25,6,Fair,19,Local,2021/06/17 00:00:00+00,124.325722063467
924,SYR2356,0.0788689504681,Merz Ave,Park,Farmer,100,4,35,4,Poor,19,Local,2021/06/17 00:00:00+00,174.119897459244
925,SYR2357,0.109795097493,Michaels Ave,Court,Kirkpatrick,100,1,24,8,Good,19,Local,1899/12/30 00:00:00+00,242.013827708871
926,SYR2359,0.0595442003909,Midland Ave,Onondaga,Lincoln,100,10,34,8,Good,17,Collector,2021/07/16 00:00:00+00,131.186829851396
927,SYR236,0.0607072042485,Beattie St.,Ridgeway,Fayette St.,300,17,22,9,Excellent,19,Local,2021/07/16 00:00:00+00,134.002892523303
928,SYR2360,0.0976001857149,Midland Ave,Lincoln,Taylor,200,10,34,9,Excellent,17,Collector,2021/07/16 00:00:00+00,215.045146462552
929,SYR2361,0.138496611115,Midland Ave,Taylor,Tallman,300,10,34,9,Excellent,17,Collector,2021/07/16 00:00:00+00,305.652913874956
930,SYR2362,0.187503270684,Midland Ave,Tallman,Bellevue,400,12,30,7,Good,17,Collector,2021/07/16 00:00:00+00,413.786776952473
931,SYR2363,0.0686486327691,Midland Ave,Bellevue,Blaine,500,12,30,6,Fair,17,Collector,2021/07/22 00:00:00+00,151.191141551677
932,SYR2364,0.114114257461,Midland Ave,Blaine,Castle,600,12,30,6,Fair,17,Collector,2021/07/16 00:00:00+00,251.717422829332
933,SYR2366,0.0658965078439,Midland Ave,Cortland,Furman,800,12,30,7,Good,17,Collector,2021/07/16 00:00:00+00,145.359329683868
934,SYR2367,0.0855067799352,Midland Ave,Furman,Kennedy,900,12,30,6,Fair,17,Collector,2021/07/16 00:00:00+00,188.613778756585
935,SYR2368,0.075242313477,Midland Ave,Kennedy,Kirk,1000,19,30,9,Excellent,17,Collector,2021/07/16 00:00:00+00,165.984017122492
936,SYR2369,0.0649174255612,Midland Ave,Kirk,McLennan,1100,19,30,9,Excellent,17,Collector,2021/07/16 00:00:00+00,143.211583917792
937,SYR237,0.0624723829945,Beattie St.,Fayette St.,Niven,400,17,22,9,Excellent,19,Local,2021/07/16 00:00:00+00,137.896728177116
938,SYR2370,0.0629429188009,Midland Ave,McLennan,Borden,1200,19,30,9,Excellent,17,Collector,2021/07/16 00:00:00+00,138.854237120008
939,SYR2371,0.0749982575149,Midland Ave,Borden,Beard,1300,19,30,8,Good,17,Collector,2021/07/16 00:00:00+00,165.446908002219
940,SYR2372,0.0920266877415,Midland Ave,Beard,Colvin,1400,19,30,8,Good,17,Collector,2021/07/16 00:00:00+00,203.006958180287
941,SYR2373,0.0678191392664,Midland Ave,Colvin,Fage,1500,19,30,8,Good,17,Collector,2021/07/16 00:00:00+00,149.604544360468
942,SYR2374,0.0592438318274,Midland Ave,Fage,Fernwood,1600,19,30,8,Good,17,Collector,2021/07/16 00:00:00+00,130.684937993361
943,SYR2375,0.0306667379749,Midland Ave,Fernwood,Warner,1700,19,30,8,Good,17,Collector,2021/07/16 00:00:00+00,67.6464346385073
944,SYR2376,0.0729211946622,Midland Ave,Warner,Forest,1800,19,30,8,Good,17,Collector,2021/07/16 00:00:00+00,160.852174122387
945,SYR2377,0.067777944918,Midland Ave,Forest,Brighton,1900,19,30,7,Good,17,Collector,2021/07/16 00:00:00+00,149.505489884169
946,SYR2378,0.0740256996026,Midland Ave,Brighton,Lafayette,2000,19,30,7,Good,17,Collector,2021/07/16 00:00:00+00,163.283971134156
947,SYR2379,0.0602445032716,Midland Ave,Lafayette,Corning,2100,14,30,6,Fair,17,Collector,2021/07/16 00:00:00+00,132.883245391539
948,SYR238,0.0639659657304,Beattie St.,Niven,Didama,500,17,22,9,Excellent,19,Local,2021/07/16 00:00:00+00,141.191959399812
949,SYR2380,0.055315030321,Midland Ave,Corning,W. Newell,2200,14,30,9,Excellent,17,Collector,2021/07/16 00:00:00+00,122.010473321052
950,SYR2381,0.05998557355,Midland Ave,W. Newell,Pleasant,2300,14,30,5,Poor,17,Collector,2021/07/16 00:00:00+00,132.340398425622
951,SYR2382,0.0616735803165,Midland Ave,Pleasant,Calthrop,2400,14,30,5,Poor,17,Collector,2021/07/16 00:00:00+00,136.063140628257
952,SYR2383,0.0575341549166,Midland Ave,Calthrop,Primrose,2500,14,30,4,Poor,17,Collector,2021/07/16 00:00:00+00,126.928855236344
953,SYR2384,0.0564397696285,Midland Ave,Primrose,Ostrander,2600,14,30,5,Poor,17,Collector,2021/07/16 00:00:00+00,124.512691297604
954,SYR2385,0.0727571845782,Midland Ave,Ostrander,Matson,2700,14,30,7,Good,17,Collector,2021/07/16 00:00:00+00,160.508486367845
955,SYR2386,0.0491639000925,Midland Ave,Matson,Hall,2800,14,30,7,Good,17,Collector,2021/07/16 00:00:00+00,108.458387905923
956,SYR2387,0.0601468186131,Midland Ave,Hall,Belle,2900,14,30,6,Fair,17,Collector,2021/07/16 00:00:00+00,132.685714616084
957,SYR2388,0.0556514613425,Midland Ave,Belle,Ballantyne,3000,14,30,7,Good,17,Collector,2021/07/16 00:00:00+00,122.767247973225
958,SYR2389,0.353177744981,Midland Ave,Ballantyne,W. Glen,3400,14,34,8,Good,17,Collector,2021/10/14 00:00:00+00,779.071738075115
959,SYR239,0.0721048900846,Beattie St.,Didama,Salt Springs,600,17,22,9,Excellent,19,Local,2021/07/16 00:00:00+00,159.153766051838
960,SYR2390,0.20631023222,Midland Ave,W. Glen,Floral Pkwy,3500,14,34,8,Good,17,Collector,2021/10/14 00:00:00+00,455.069157746159
961,SYR2391,0.0840930970071,Midland Ave,Floral Pkwy,Seneca Tnpk,3800,14,34,8,Good,17,Collector,1899/12/30 00:00:00+00,185.481950943641
962,SYR2392,0.132693955972,Midler Ave N,James,Tyson,100,5,36,7,Good,16,Minor Arterial,2021/06/25 00:00:00+00,293.001083160551
963,SYR2393,0.197395009084,Midler Ave N,Tyson,Coughlin,200,4,36,7,Good,16,Minor Arterial,2021/06/25 00:00:00+00,435.890885218815
964,SYR2394,0.174223508764,Midler Ave N,Coughlin,City line,300,4,36,7,Good,16,Minor Arterial,2021/06/25 00:00:00+00,384.737894003552
965,SYR2395,0.172139642005,"Midler Ave., S.",James,Northcliffe,100,5,34,5,Poor,16,Minor Arterial,2021/06/17 00:00:00+00,380.067442323795
966,SYR2396,0.156847269651,"Midler Ave., S.",Northcliffe,Glencove,200,5,34,5,Poor,16,Minor Arterial,2021/06/17 00:00:00+00,346.310694058578
967,SYR2397,0.156694321805,"Midler Ave., S.",Glencove,Sunnycrest,300,5,34,5,Poor,16,Minor Arterial,2021/06/17 00:00:00+00,345.960541659907
968,SYR2398,0.126094255396,"Midler Ave., S.",Sunnycrest,Caleb,400,5,34,5,Poor,16,Minor Arterial,2021/06/17 00:00:00+00,278.389967307991
969,SYR2399,0.107961787587,"Midler Ave., S.",Caleb,Burnet,500,5,36,5,Poor,16,Minor Arterial,2021/06/17 00:00:00+00,238.350839120634
970,SYR24,0.0853981301183,"Adams St., E.",Townsend,McBride,500,15,64,8,Good,14,Principal Arterial,1899/12/30 00:00:00+00,187.811583073922
971,SYR240,0.0632842749672,Beaumont Pl.,Doll Pkwy,Barrington,100,17,35,5,Poor,19,Local,2021/07/19 00:00:00+00,139.196448931847
