FID,OBJECTID,BPID,Road_Class,FC,Miles,Rating_202,Rating_Cat,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Feet,Shape__Len,Shape__Length
1701,676,SYR1731,2,19,0.0852221342486,6,Fair,High St,Pond,Craig,100,3,29,449.972868833,187.674847063,187.674847059156
1702,677,SYR1732,2,19,0.127378626944,5,Poor,Highland Ave.,Highland St.,Graves,100,6,33,672.559150266,280.527855804,280.527855811553
1703,678,SYR1733,2,19,0.125502355181,4,Poor,Highland Ave.,Graves,Oak,200,4,30,662.652435355,276.399920559,276.399920551304
1704,679,SYR1734,2,19,0.190296209154,5,Poor,Highland Ave.,Oak,Dewitt,300,4,30,1004.76398434,419.113358675,419.11335868023
1705,680,SYR1735,2,19,0.0541303557759,7,Good,Highland Pl.,Beecher,Douglas,100,6,18,285.808278496,119.250482711,119.250482707966
1706,681,SYR1736,2,19,0.0661984881847,5,Poor,Highland St,James,Willow,100,6,32,349.528017615,145.991265306,145.991265298166
1707,682,SYR1737,2,19,0.0608371345066,5,Poor,Highland St.,Willow,Highland Av.,200,6,27,321.220070195,134.161136784,134.16113679083
1708,683,SYR1738,2,19,0.0806637297454,4,Poor,Highland St.,Highland Av.,Douglas,300,6,27,425.904493056,177.890558756,177.890558759673
1709,684,SYR1739,2,19,0.0637750270611,5,Poor,Highland St.,Douglas,Beecher,400,6,27,336.732142882,140.659273112,140.659273115259
1710,685,SYR1741,2,19,0.0578084024563,6,Fair,Highland St.,Graves,Jasper,600,4,27,305.228364969,127.629830941,127.629830932278
1711,686,SYR1742,2,19,0.0605406433776,7,Good,Highland St.,Jasper,Park,700,4,27,319.654597034,133.664425927,133.664425934164
1712,687,SYR1743,2,19,0.0735625531054,5,Poor,Highland St.,Park,Carbon,800,4,27,388.410280396,162.41803289,162.418032875327
1713,688,SYR1744,2,19,0.167718581552,4,Poor,Highland St.,Carbon,Knaul,900,4,27,885.554110597,370.313266273,370.31326628604
1714,689,SYR1745,2,19,0.145467465386,5,Poor,Highland St.,Knaul,Hartley,1000,4,27,768.068217237,321.170900951,321.170900945948
1715,690,SYR1746,2,19,0.0929873754578,6,Fair,Highland St.,Third,Saile,1200,4,27,490.973342417,205.317997725,205.317997736361
1716,691,SYR1748,2,19,0.0831113840157,6,Fair,Highland St.,Schiller,Grant Blvd.,1400,4,27,303.487115423,183.524261187,183.524261183311
1717,692,SYR1749,2,19,0.142756063331,9,Excellent,Highridge Dr,Broadview,Highridge Pl,100,11,21,753.752014389,314.45254082,314.452540821882
1718,693,SYR175,2,19,0.198703623472,7,Good,Ball Cir.,E. Brighton,Ainsley Dr.,100,14,26,1049.15513193,437.538284925,437.538284929554
1719,694,SYR1753,2,19,0.0928061852359,6,Fair,Hillcrest Rd,Janet Dr.,dead end,100,17,24,468.812319767,204.527968446,204.527968447681
1720,695,SYR1754,2,19,0.169983784958,6,Fair,Hillsboro Pkwy,E. Genesee,Deforest,100,17,42,897.514384576,374.548678033,374.548678051778
1721,696,SYR1755,2,19,0.089983787009,5,Poor,Hillsboro Pkwy,Deforest,Enfield Pl.,200,17,0,475.114395408,198.336436676,198.336436674409
1722,697,SYR1756,2,19,0.164782328435,5,Poor,Hillsboro Pkwy,Enfield Pl.,Hadden Rd.,300,17,0,870.050694139,362.404509392,362.404509389795
1723,698,SYR1757,2,19,0.309760562466,5,Poor,Hillsboro Pkwy,Hadden Rd.,Lockwood Rd.,400,17,0,1635.53576982,682.134037117,682.134037122228
1724,699,SYR1758,2,19,0.172746125399,9,Excellent,Hillsdale Ave.,James,Northcliffe,100,5,27,912.099542109,381.426746738,381.426746734178
1725,700,SYR1759,2,19,0.155912352971,9,Excellent,Hillsdale Ave.,Northcliffe,Glencove,200,5,27,823.217223685,344.245818622,344.245818631153
1726,701,SYR176,2,18,0.153087691419,8,Good,Ballantyne Rd.,S. Salina,Sheldon,100,14,31,808.303010695,336.509290796,336.509290795311
1727,702,SYR1760,2,19,0.15610514046,9,Excellent,Hillsdale Ave.,Glencove,Sunnycrest,300,5,27,824.235141628,344.657966221,344.657966222218
1728,703,SYR1761,2,19,0.171822271537,8,Good,Hillsdale Ave.,Sunnycrest,Caleb,400,5,27,907.221593717,379.34554399,379.345543984627
1729,704,SYR1762,2,19,0.106894389982,9,Excellent,Hillsdale Ave.,Caleb,Burnet,500,5,27,564.402379105,235.989280913,235.989280928295
1730,705,SYR1763,2,19,0.0753871795101,6,Fair,Hillside St,Dale,Butternut,100,3,27,398.044307813,166.1820548,166.182054786686
1731,706,SYR1764,2,19,0.0508832641956,5,Poor,Hillside St.,Butternut,Loma,200,3,27,268.663634953,112.174326856,112.174326856197
1732,707,SYR1767,2,19,0.0517203211888,7,Good,Hillside St.,Harding,Maplehurst,500,3,27,273.083295877,114.027233927,114.027233925288
1733,708,SYR1769,2,19,0.0632365733828,7,Good,Hillside St.,Darlington,city line,700,3,22,333.889107461,139.421990868,139.421990866469
1734,709,SYR177,2,18,0.0622201630085,8,Good,Ballantyne Rd.,Sheldon,Slayton,200,14,31,328.522460685,136.767942915,136.767942913911
1735,710,SYR1770,2,19,0.0781408734782,9,Excellent,Hilltop Rd,Juneway,dead end,100,11,24,412.583811965,172.388165388,172.388165377643
1736,711,SYR1773,2,19,0.144994103665,4,Poor,Hillview Ave,Craddock,Summitt,300,13,27,765.568867352,318.767701876,318.767701874962
1737,712,SYR1774,2,19,0.0683423041562,6,Fair,Hilton Rd,S. Salina,Longmeadow,100,14,27,360.847365944,150.189886695,150.189886701128
1738,713,SYR1775,2,19,0.0647099172983,7,Good,Hilton Rd,Longmeadow,Long Meadow,200,14,27,341.668363335,142.20677924,142.206779234427
1739,714,SYR1777,2,19,0.0527290489903,8,Good,Hixson Ave.,Melrose,Eldorado,200,5,27,278.409378669,116.420789191,116.420789198767
1740,715,SYR1312,2,19,0.0839545697281,6,Fair,Forman Ave,Fayette,Genesee,300,15,37,443.280128164,185.316435042,185.316435051557
1741,716,SYR1317,2,19,0.135813086988,0,Not Rated,Fourth North St.,Hiawatha,RR tracks,300,1,34,210.032275156,299.199189757,299.199189750484
1742,717,SYR132,2,18,0.128286267404,10,Excellent,Atlantic Ave,Evaleen,Girard,200,13,25,677.351491892,282.017392198,282.017392201638
1743,718,SYR1322,2,17,0.0324358601392,5,Poor,"Franklin St, S.",Walton,Jefferson,400,9,45,171.261341535,71.5968268941,71.5968268968774
1744,719,SYR1324,2,16,0.0324904893415,6,Fair,"Franklin St., N.",Genesee,Willow,200,9,45,171.549783723,71.7087493731,71.7087493838985
1745,720,SYR1333,2,19,0.0956528885869,6,Fair,Gannett Ave,Willumae,Sixth North,100,1,0,505.047251739,211.075308382,211.075308386002
1746,721,SYR1336,2,19,0.110800727508,7,Good,Garfield Ave,Borden,Elizabeth,300,19,27,585.02784124,244.477379935,244.477379931362
1747,722,SYR1337,2,19,0.0460350669667,7,Good,Garfield Ave,Elizabeth,Colvin,400,19,27,243.065153584,101.571459534,101.57145953099
1748,723,SYR134,2,18,0.0519131295557,7,Good,Atlantic Ave,Empire,Loomis,400,13,25,274.101324054,114.126606549,114.126606556011
1749,724,SYR1344,2,16,0.12717812012,8,Good,Geddes St N,Richmond,Park,300,2,46,671.500474236,280.738085745,280.738085752604
1750,725,SYR1347,2,16,0.0718578490931,7,Good,Geddes St N,Belden,Rte. 690,600,2,36,379.409443211,158.632449854,158.632449846959
1751,726,SYR135,2,18,0.0502102553567,7,Good,Atlantic Ave,Loomis,Shirley,500,13,25,265.110148283,110.376903408,110.37690340453
1752,727,SYR1362,2,16,0.0880848561741,6,Fair,"Geddes St., S.",Putnam,Rowland,1100,11,40,465.088040599,194.3435008,194.343500790031
1753,728,SYR1367,2,16,0.0620879501266,5,Poor,"Geddes St., S.",Grant,Laforte,1600,11,36,327.824376668,137.01056567,137.010565659768
1754,729,SYR1377,2,16,0.137368919438,4,Poor,Genant Dr.,Spencer,Kirkpatrick,400,2,21,725.307894632,302.68429912,302.68429913193
1755,730,SYR139,2,19,0.0465557370485,7,Good,Audubon Pkwy,Northway,Hazelwood,300,17,30,245.814291616,102.759627813,102.759627821189
1756,731,SYR1399,20,14,0.108674747356,6,Fair,"Genesee St., E.",Maple,Cherry,1600,17,42,573.802666038,239.057856146,239.057856140329
1757,732,SYR1418,20,14,0.11297230942,5,Poor,"Genesee St., E.",Hillsboro Pkwy,Dewitt Rd.,3700,17,40,596.493793737,248.522392277,248.522392279128
1758,733,SYR1422,20,14,0.0900818582227,7,Good,"Genesee St., W.",Franklin,Wallace,300,2,40,475.632211416,198.328909462,198.328909458983
1759,734,SYR1431,20,14,0.188471242731,5,Poor,"Genesee St., W.",Eureka,Dewey,1200,2,51,995.128161621,414.659730967,414.65973097109
1760,735,SYR1434,20,14,0.0654456717797,6,Fair,"Genesee St., W.",Erie Blvd,Fayette,0,0,40,345.553146997,143.962395058,143.962395055135
1761,736,SYR1441,2,19,0.0405919017279,8,Good,Gere Ave,Avery,West End Dr.,100,7,19,214.325241123,89.3749938932,89.3749938951647
1762,737,SYR145,2,17,0.0942476962998,5,Poor,"Avery Ave., N.",Tompkins,Ulster,100,8,36,497.627836463,207.871625081,207.871625094638
1763,738,SYR1455,2,19,0.105549140421,7,Good,Gilbert Ave,Curtis,Pond,200,3,26,557.299461424,232.418761534,232.418761540931
1764,739,SYR146,2,17,0.0950395892245,5,Poor,"Avery Ave., N.",Ulster,Schuyler,200,7,36,501.809031106,209.620134736,209.620134730734
1765,740,SYR147,2,17,0.0756214215726,5,Poor,"Avery Ave., N.",Schuyler,Hamilton,300,7,36,399.281105903,166.796792288,166.796792286972
1766,741,SYR1471,2,19,0.0621604264311,6,Fair,Glencove Rd.,Hillsdale,Collingwood,500,5,29,328.207051556,136.755453112,136.755453108758
1767,742,SYR1475,2,19,0.134040984738,7,Good,Glencove Rd.,Nichols,Moseley,900,5,29,707.736399416,294.900235448,294.900235447528
1768,743,SYR148,2,17,0.0754958436003,4,Poor,"Avery Ave., N.",Hamilton,Cayuga,400,7,36,398.618054209,166.520163193,166.520163188321
